||||Columns|
Rows|||||
||||House Sale Statistics|
Adana|1. (First Sales)|2014|01-January|596.0|
|||02-February|693.0|
|||03-March|530.0|
|||04-April|542.0|
|||05-May|724.0|
|||06-June|726.0|
|||07-July|663.0|
|||08-August|905.0|
|||09-September|698.0|
|||10-October|646.0|
|||11-November|664.0|
|||12-December|1024.0|
|2. (Second Hand Sales)|2014|01-January|942.0|
|||02-February|891.0|
|||03-March|905.0|
|||04-April|878.0|
|||05-May|951.0|
|||06-June|983.0|
|||07-July|1090.0|
|||08-August|1148.0|
|||09-September|1186.0|
|||10-October|976.0|
|||11-November|1078.0|
|||12-December|1458.0|
Adıyaman|1. (First Sales)|2014|01-January|177.0|
|||02-February|98.0|
|||03-March|115.0|
|||04-April|122.0|
|||05-May|191.0|
|||06-June|241.0|
|||07-July|198.0|
|||08-August|299.0|
|||09-September|273.0|
|||10-October|200.0|
|||11-November|264.0|
|||12-December|405.0|
|2. (Second Hand Sales)|2014|01-January|139.0|
|||02-February|163.0|
|||03-March|134.0|
|||04-April|129.0|
|||05-May|137.0|
|||06-June|147.0|
|||07-July|120.0|
|||08-August|196.0|
|||09-September|211.0|
|||10-October|164.0|
|||11-November|156.0|
|||12-December|201.0|
Afyonkarahisar|1. (First Sales)|2014|01-January|178.0|
|||02-February|156.0|
|||03-March|187.0|
|||04-April|153.0|
|||05-May|172.0|
|||06-June|171.0|
|||07-July|192.0|
|||08-August|239.0|
|||09-September|298.0|
|||10-October|213.0|
|||11-November|222.0|
|||12-December|345.0|
|2. (Second Hand Sales)|2014|01-January|266.0|
|||02-February|284.0|
|||03-March|288.0|
|||04-April|255.0|
|||05-May|298.0|
|||06-June|289.0|
|||07-July|291.0|
|||08-August|345.0|
|||09-September|373.0|
|||10-October|310.0|
|||11-November|338.0|
|||12-December|397.0|
Ağrı|1. (First Sales)|2014|01-January|51.0|
|||02-February|41.0|
|||03-March|81.0|
|||04-April|53.0|
|||05-May|50.0|
|||06-June|59.0|
|||07-July|41.0|
|||08-August|133.0|
|||09-September|80.0|
|||10-October|70.0|
|||11-November|71.0|
|||12-December|119.0|
|2. (Second Hand Sales)|2014|01-January|28.0|
|||02-February|35.0|
|||03-March|35.0|
|||04-April|33.0|
|||05-May|43.0|
|||06-June|58.0|
|||07-July|47.0|
|||08-August|44.0|
|||09-September|52.0|
|||10-October|34.0|
|||11-November|51.0|
|||12-December|38.0|
Aksaray|1. (First Sales)|2014|01-January|169.0|
|||02-February|164.0|
|||03-March|140.0|
|||04-April|138.0|
|||05-May|176.0|
|||06-June|131.0|
|||07-July|145.0|
|||08-August|297.0|
|||09-September|314.0|
|||10-October|182.0|
|||11-November|207.0|
|||12-December|291.0|
|2. (Second Hand Sales)|2014|01-January|157.0|
|||02-February|130.0|
|||03-March|151.0|
|||04-April|156.0|
|||05-May|114.0|
|||06-June|131.0|
|||07-July|181.0|
|||08-August|275.0|
|||09-September|228.0|
|||10-October|152.0|
|||11-November|169.0|
|||12-December|199.0|
Amasya|1. (First Sales)|2014|01-January|120.0|
|||02-February|90.0|
|||03-March|113.0|
|||04-April|88.0|
|||05-May|123.0|
|||06-June|129.0|
|||07-July|191.0|
|||08-August|477.0|
|||09-September|283.0|
|||10-October|214.0|
|||11-November|240.0|
|||12-December|282.0|
|2. (Second Hand Sales)|2014|01-January|126.0|
|||02-February|135.0|
|||03-March|141.0|
|||04-April|96.0|
|||05-May|98.0|
|||06-June|140.0|
|||07-July|110.0|
|||08-August|169.0|
|||09-September|160.0|
|||10-October|138.0|
|||11-November|151.0|
|||12-December|180.0|
Ankara|1. (First Sales)|2014|01-January|3920.0|
|||02-February|3480.0|
|||03-March|4913.0|
|||04-April|3366.0|
|||05-May|4930.0|
|||06-June|4028.0|
|||07-July|3718.0|
|||08-August|4867.0|
|||09-September|5157.0|
|||10-October|4551.0|
|||11-November|4771.0|
|||12-December|6501.0|
|2. (Second Hand Sales)|2014|01-January|6221.0|
|||02-February|5906.0|
|||03-March|5780.0|
|||04-April|5883.0|
|||05-May|6074.0|
|||06-June|6409.0|
|||07-July|5708.0|
|||08-August|6969.0|
|||09-September|7458.0|
|||10-October|5998.0|
|||11-November|6924.0|
|||12-December|8293.0|
Antalya|1. (First Sales)|2014|01-January|2242.0|
|||02-February|1800.0|
|||03-March|2144.0|
|||04-April|2233.0|
|||05-May|2191.0|
|||06-June|2014.0|
|||07-July|1823.0|
|||08-August|2210.0|
|||09-September|2795.0|
|||10-October|2251.0|
|||11-November|2230.0|
|||12-December|2902.0|
|2. (Second Hand Sales)|2014|01-January|2863.0|
|||02-February|2703.0|
|||03-March|2548.0|
|||04-April|2574.0|
|||05-May|2816.0|
|||06-June|2933.0|
|||07-July|2495.0|
|||08-August|2897.0|
|||09-September|3341.0|
|||10-October|2850.0|
|||11-November|3301.0|
|||12-December|4071.0|
Ardahan|1. (First Sales)|2014|01-January|16.0|
|||02-February|6.0|
|||03-March|6.0|
|||04-April|9.0|
|||05-May|4.0|
|||06-June|10.0|
|||07-July|6.0|
|||08-August|6.0|
|||09-September|4.0|
|||10-October|9.0|
|||11-November|14.0|
|||12-December|8.0|
|2. (Second Hand Sales)|2014|01-January|2.0|
|||02-February|0.0|
|||03-March|5.0|
|||04-April|3.0|
|||05-May|7.0|
|||06-June|5.0|
|||07-July|3.0|
|||08-August|5.0|
|||09-September|8.0|
|||10-October|6.0|
|||11-November|9.0|
|||12-December|6.0|
Artvin|1. (First Sales)|2014|01-January|63.0|
|||02-February|53.0|
|||03-March|33.0|
|||04-April|40.0|
|||05-May|58.0|
|||06-June|122.0|
|||07-July|59.0|
|||08-August|87.0|
|||09-September|76.0|
|||10-October|105.0|
|||11-November|103.0|
|||12-December|136.0|
|2. (Second Hand Sales)|2014|01-January|49.0|
|||02-February|41.0|
|||03-March|52.0|
|||04-April|30.0|
|||05-May|42.0|
|||06-June|30.0|
|||07-July|42.0|
