||Columns|
Rows||City|
|||
|||
||Population Of Sre-1, Sre-2, Provinces And Districts|
Adana(Aladağ)|2015|16823.0|
Adana(Ceyhan)|2015|159504.0|
Adana(Çukurova)|2015|359315.0|
Adana(Feke)|2015|17214.0|
Adana(İmamoğlu)|2015|28686.0|
Adana(Karaisalı)|2015|21451.0|
Adana(Karataş)|2015|21939.0|
Adana(Kozan)|2015|129242.0|
Adana(Pozantı)|2015|19440.0|
Adana(Saimbeyli)|2015|15530.0|
Adana(Sarıçam)|2015|150425.0|
Adana(Seyhan)|2015|788722.0|
Adana(Tufanbeyli)|2015|17759.0|
Adana(Yumurtalık)|2015|18106.0|
Adana(Yüreğir)|2015|419011.0|
Adıyaman(Besni)|2015|29745.0|
Adıyaman(Çelikhan)|2015|8405.0|
Adıyaman(Gerger)|2015|2909.0|
Adıyaman(Gölbaşı)|2015|30182.0|
Adıyaman(Kahta)|2015|72145.0|
Adıyaman(Merkez)|2015|238711.0|
Adıyaman(Samsat)|2015|3899.0|
Adıyaman(Sincik)|2015|4040.0|
Adıyaman(Tut)|2015|3436.0|
Afyonkarahisar(Başmakçı)|2015|5432.0|
Afyonkarahisar(Bayat)|2015|4360.0|
Afyonkarahisar(Bolvadin)|2015|31227.0|
Afyonkarahisar(Çay)|2015|14604.0|
Afyonkarahisar(Çobanlar)|2015|9142.0|
Afyonkarahisar(Dazkırı)|2015|5041.0|
Afyonkarahisar(Dinar)|2015|24744.0|
Afyonkarahisar(Emirdağ)|2015|19101.0|
Afyonkarahisar(Evciler)|2015|3598.0|
Afyonkarahisar(Hocalar)|2015|2639.0|
Afyonkarahisar(İhsaniye)|2015|3753.0|
Afyonkarahisar(İscehisar)|2015|12402.0|
Afyonkarahisar(Kızılören)|2015|1576.0|
Afyonkarahisar(Merkez)|2015|217805.0|
Afyonkarahisar(Sandıklı)|2015|32068.0|
Afyonkarahisar(Sinanpaşa)|2015|3779.0|
Afyonkarahisar(Şuhut)|2015|13445.0|
Afyonkarahisar(Sultandağı)|2015|5606.0|
Ağrı(Diyadin)|2015|20716.0|
Ağrı(Doğubayazıt)|2015|78952.0|
Ağrı(Eleşkirt)|2015|10334.0|
Ağrı(Hamur)|2015|3199.0|
Ağrı(Merkez)|2015|116359.0|
Ağrı(Patnos)|2015|63643.0|
Ağrı(Taşlıçay)|2015|6176.0|
Ağrı(Tutak)|2015|6973.0|
Aksaray(Ağaçören)|2015|2746.0|
Aksaray(Eskil)|2015|16943.0|
Aksaray(Gülağaç)|2015|4467.0|
Aksaray(Güzelyurt)|2015|2571.0|
Aksaray(Merkez)|2015|202336.0|
Aksaray(Ortaköy)|2015|18326.0|
Aksaray(Sarıyahşi)|2015|3438.0|
Amasya(Göynücek)|2015|4551.0|
Amasya(Gümüşhacıköy)|2015|14267.0|
Amasya(Hamamözü)|2015|1375.0|
Amasya(Merkez)|2015|101813.0|
Amasya(Merzifon)|2015|55163.0|
Amasya(Suluova)|2015|37750.0|
Amasya(Taşova)|2015|11513.0|
Ankara(Akyurt)|2015|30245.0|
Ankara(Altındağ)|2015|363687.0|
Ankara(Ayaş)|2015|12678.0|
Ankara(Bala)|2015|21618.0|
Ankara(Beypazarı)|2015|47582.0|
Ankara(Çamlıdere)|2015|6479.0|
Ankara(Çankaya)|2015|922536.0|
Ankara(Çubuk)|2015|86055.0|
Ankara(Elmadağ)|2015|43776.0|
Ankara(Etimesgut)|2015|527959.0|
Ankara(Evren)|2015|2847.0|
Ankara(Gölbaşı)|2015|122288.0|
Ankara(Güdül)|2015|8392.0|
Ankara(Haymana)|2015|28355.0|
Ankara(Kalecik)|2015|13388.0|
Ankara(Kazan)|2015|51764.0|
Ankara(Keçiören)|2015|889876.0|
Ankara(Kızılcahamam)|2015|25179.0|
Ankara(Mamak)|2015|607878.0|
Ankara(Nallıhan)|2015|29209.0|
Ankara(Polatlı)|2015|121858.0|
Ankara(Pursaklar)|2015|133961.0|
Ankara(Şereflikoçhisar)|2015|33729.0|
Ankara(Sincan)|2015|506950.0|
Ankara(Yenimahalle)|2015|632286.0|
Antalya(Akseki)|2015|11088.0|
Antalya(Aksu)|2015|68496.0|
Antalya(Alanya)|2015|291643.0|
Antalya(Demre)|2015|26180.0|
Antalya(Döşemealtı)|2015|55462.0|
Antalya(Elmalı)|2015|38515.0|
Antalya(Finike)|2015|46817.0|
Antalya(Gazipaşa)|2015|48866.0|
Antalya(Gündoğmuş)|2015|7583.0|
Antalya(İbradı)|2015|2761.0|
Antalya(Kaş)|2015|56386.0|
Antalya(Kemer)|2015|42796.0|
Antalya(Kepez)|2015|497242.0|
Antalya(Konyaaltı)|2015|154920.0|
Antalya(Korkuteli)|2015|52746.0|
Antalya(Kumluca)|2015|67135.0|
Antalya(Manavgat)|2015|222419.0|
Antalya(Muratpaşa)|2015|477290.0|
Antalya(Serik)|2015|120111.0|
Ardahan(Çıldır)|2015|2660.0|
Ardahan(Damal)|2015|3094.0|
Ardahan(Göle)|2015|6033.0|
Ardahan(Hanak)|2015|3033.0|
Ardahan(Merkez)|2015|19777.0|
Ardahan(Posof)|2015|1985.0|
Artvin(Ardanuç)|2015|5803.0|
Artvin(Arhavi)|2015|16504.0|
Artvin(Borçka)|2015|10864.0|
Artvin(Hopa)|2015|19748.0|
Artvin(Merkez)|2015|25838.0|
Artvin(Murgul)|2015|5908.0|
Artvin(Şavşat)|2015|6890.0|
Artvin(Yusufeli)|2015|7804.0|
Aydın(Bozdoğan)|2015|34237.0|
Aydın(Buharkent)|2015|12505.0|
